Local Time (America/New_York),Reactive Power Mean,Active Power Mean,Apparent Power Mean
"9/25/2023, 6:45:00 PM",0.437564462,7.855796337,7.934038639
"9/25/2023, 7:00:00 PM",0.347826779,8.555245399,8.631635666
"9/25/2023, 7:15:00 PM",-0.04224325,8.412481308,8.494960785
"9/25/2023, 7:30:00 PM",-0.054250419,8.603590965,8.688726425
"9/25/2023, 7:45:00 PM",-1.632323146,10.21312428,10.68412399
"9/25/2023, 8:00:00 PM",-1.701559663,10.05469513,10.53275681
"9/25/2023, 8:15:00 PM",-1.75800252,9.937316895,10.4322834
"9/25/2023, 8:30:00 PM",-1.80926156,9.968907356,10.47768688
"9/25/2023, 8:45:00 PM",-1.850677609,9.804199219,10.3108778
"9/25/2023, 9:00:00 PM",-1.833564878,9.993913651,10.48721313
"9/25/2023, 9:15:00 PM",-1.776060104,10.25612259,10.75069904
"9/25/2023, 9:30:00 PM",-1.758240342,10.16669178,10.64460182
"9/25/2023, 9:45:00 PM",-1.75818193,10.16698933,10.65054131
"9/25/2023, 10:00:00 PM",-1.773685813,10.24652576,10.73814106
"9/25/2023, 10:15:00 PM",-1.758955717,10.15696144,10.6345377
"9/25/2023, 10:30:00 PM",-1.752718687,10.21119595,10.69470406
"9/25/2023, 10:45:00 PM",-1.759896636,10.29084396,10.77966785
"9/25/2023, 11:00:00 PM",-1.763822794,10.18708515,10.67164993
"9/25/2023, 11:15:00 PM",-1.764047027,10.15041637,10.62889385
"9/25/2023, 11:30:00 PM",-1.770561337,10.23818684,10.73057747
"9/25/2023, 11:45:00 PM",-1.773778319,10.14569855,10.63042545
"9/26/2023, 12:00:00 AM",-1.753778219,10.14888,10.62587166
"9/26/2023, 12:15:00 AM",-1.770075798,10.26621246,10.751297
"9/26/2023, 12:30:00 AM",-1.775799036,10.15273952,10.63789368
"9/26/2023, 12:45:00 AM",-1.766481161,10.16345406,10.64542103
"9/26/2023, 1:00:00 AM",-1.821664333,10.12705708,10.61843777
"9/26/2023, 1:15:00 AM",-1.827452421,10.04822922,10.54190254
"9/26/2023, 1:30:00 AM",-1.868173242,9.979828835,10.48165607
"9/26/2023, 1:45:00 AM",-1.871576309,10.06085396,10.57184505
"9/26/2023, 2:00:00 AM",-1.763472438,10.14917755,10.63083076
"9/26/2023, 2:15:00 AM",-1.789569259,10.14068222,10.62823391
"9/26/2023, 2:30:00 AM",-1.728361487,10.27574635,10.77866745
"9/26/2023, 2:45:00 AM",-1.772485852,10.15299225,10.63512707
"9/26/2023, 3:00:00 AM",-1.724254727,10.26261997,10.73661995
"9/26/2023, 3:15:00 AM",-1.744127989,10.27277088,10.7526226
"9/26/2023, 3:30:00 AM",-1.766348958,10.16962719,10.64935112
"9/26/2023, 3:45:00 AM",-1.773241401,10.15669632,10.64149189
"9/26/2023, 4:00:00 AM",-1.754129887,10.26472092,10.74862957
"9/26/2023, 4:15:00 AM",-1.796400785,10.12428856,10.61819077
"9/26/2023, 4:30:00 AM",-1.869437337,10.0576458,10.55513191
"9/26/2023, 4:45:00 AM",-1.849918842,10.16441917,10.65132332
"9/26/2023, 5:00:00 AM",-1.924835801,10.03874016,10.53424072
"9/26/2023, 5:15:00 AM",-1.920428157,10.05187607,10.55101585
"9/26/2023, 5:30:00 AM",-1.944342136,10.01912022,10.52869606
"9/26/2023, 5:45:00 AM",-2.141561985,9.72274971,10.25879574
"9/26/2023, 6:00:00 AM",-2.180104971,9.885602951,10.40015984
"9/26/2023, 6:15:00 AM",-1.984736204,10.13218212,10.63685513
"9/26/2023, 6:30:00 AM",-2.052202463,10.00885868,10.51294518
"9/26/2023, 6:45:00 AM",-1.874427199,10.05533791,10.54725456
"9/26/2023, 7:00:00 AM",-1.51666069,10.06668186,10.49782562
"9/26/2023, 7:15:00 AM",-0.150948644,8.91087532,8.990217209
"9/26/2023, 7:30:00 AM",-0.376794308,8.634561539,8.710240364
"9/26/2023, 7:45:00 AM",-0.03189994,8.975410461,9.040489197
"9/26/2023, 8:00:00 AM",0.149532691,8.861494064,8.918869019
"9/26/2023, 8:15:00 AM",0.138674408,8.858181953,8.915393829
"9/26/2023, 8:30:00 AM",0.144470811,8.979182243,9.038935661
"9/26/2023, 8:45:00 AM",0.140739515,8.848278046,8.907603264
"9/26/2023, 9:00:00 AM",0.131756574,8.839404106,8.895432472
"9/26/2023, 9:15:00 AM",0.133361742,8.954842567,9.011722565
"9/26/2023, 9:30:00 AM",0.528361142,9.463564873,9.530827522
"9/26/2023, 9:45:00 AM",0.220227122,8.734818459,8.789067268
"9/26/2023, 10:00:00 AM",0.648814082,9.266454697,9.323657036
"9/26/2023, 10:15:00 AM",0.386198431,8.765040398,8.81127739
"9/26/2023, 10:30:00 AM",0.598034561,9.120710373,9.174906731
"9/26/2023, 10:45:00 AM",0.404654235,8.899189949,8.946108818
"9/26/2023, 11:00:00 AM",0.64555794,9.19306469,9.249771118
"9/26/2023, 11:15:00 AM",0.731569886,9.409453392,9.469065666
"9/26/2023, 11:30:00 AM",0.424010009,8.920660973,8.967252731
"9/26/2023, 11:45:00 AM",0.762516499,9.439328194,9.501063347
"9/26/2023, 12:00:00 PM",0.418953687,8.804952621,8.848718643
"9/26/2023, 12:15:00 PM",0.739447951,9.433984756,9.49929142
"9/26/2023, 12:30:00 PM",0.795254946,9.454146385,9.525115967
"9/26/2023, 12:45:00 PM",0.364836127,8.88232708,8.937752724
"9/26/2023, 1:00:00 PM",0.793450117,9.904107094,9.984424591
"9/26/2023, 1:15:00 PM",0.298801035,9.056783676,9.119053841
"9/26/2023, 1:30:00 PM",0.550191522,9.392993927,9.463194847
"9/26/2023, 1:45:00 PM",0.902262151,9.674787521,9.753218651
"9/26/2023, 2:00:00 PM",0.400404155,8.301947594,8.351059914
"9/26/2023, 2:15:00 PM",0.988352299,9.168526649,9.252291679
"9/26/2023, 2:30:00 PM",0.88749969,8.679237366,8.761658669
"9/26/2023, 2:45:00 PM",0.906309485,8.298596382,8.384859085
"9/26/2023, 3:00:00 PM",0.984970033,8.379278183,8.478990555
"9/26/2023, 3:15:00 PM",0.555790126,7.577180862,7.63912487
"9/26/2023, 3:30:00 PM",1.162288308,8.472395897,8.58268261
"9/26/2023, 3:45:00 PM",0.738498747,7.635050297,7.71222496
"9/26/2023, 4:00:00 PM",1.100316882,8.28211689,8.38839817
"9/26/2023, 4:15:00 PM",0.933750451,7.841061115,7.934807301
"9/26/2023, 4:30:00 PM",0.771582782,7.558486938,7.643258095
"9/26/2023, 4:45:00 PM",0.88408947,7.844400883,7.934339046
"9/26/2023, 5:00:00 PM",0.882591069,7.713352203,7.809019566
"9/26/2023, 5:15:00 PM",0.630517185,7.697824001,7.791487694
"9/26/2023, 5:30:00 PM",0.600520074,7.892278194,7.988754749
"9/26/2023, 5:45:00 PM",0.659775198,8.274600983,8.363944054
"9/26/2023, 6:00:00 PM",0.487522721,8.076952934,8.162834167
"9/26/2023, 6:15:00 PM",0.961883843,8.918353081,9.018572807
"9/26/2023, 6:30:00 PM",0.289633542,8.197589874,8.266217232
"9/26/2023, 6:45:00 PM",0.717896342,9.165025711,9.250813484
"9/26/2023, 7:00:00 PM",0.293318152,8.453604698,8.52124691
"9/26/2023, 7:15:00 PM",0.468815476,9.237290382,9.326737404
"9/26/2023, 7:30:00 PM",-0.030624362,9.087739944,9.184230804
"9/26/2023, 7:45:00 PM",-1.524284363,10.5174818,10.97189331
"9/26/2023, 8:00:00 PM",-1.637174368,10.22745228,10.69397163
"9/26/2023, 8:15:00 PM",-1.732762694,10.17138863,10.66183949
"9/26/2023, 8:30:00 PM",-1.577875257,10.34211922,10.79952335
"9/26/2023, 8:45:00 PM",-1.515447617,10.44785023,10.89237022
"9/26/2023, 9:00:00 PM",-1.71646142,10.20003986,10.7055769
"9/26/2023, 9:15:00 PM",-1.714265704,10.08582783,10.56752682
"9/26/2023, 9:30:00 PM",-1.59066999,10.33320808,10.79912567
"9/26/2023, 9:45:00 PM",-1.569117069,10.56251717,11.02114296
"9/26/2023, 10:00:00 PM",-1.771075964,10.08717632,10.58078194
"9/26/2023, 10:15:00 PM",-1.789197683,10.16975117,10.66453362
